DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
10021700,Lake or Pond,452122.0698,4964493.94,Carver,Y,1,0.502546584,2.2,83.5571,2604.575745341165,2740.251724907773,2585.2433609660693,2407.379307688195,2415.7195635005037
10021800,Lake or Pond,452183.4779,4963730.543,Carver,Y,1,0.952101064,3.5,134.1676,2570.5803130306635,2701.1686828966863,2560.8370617214373,2380.027233319957,2383.5681751279258
11004300,Lake or Pond,426418.8324,5184036.604,Cass,Y,1,3.132666667,4.2672,42.0876,2080.4984631940356,2175.4447088822217,2093.472678066783,1935.3411239669642,1914.4991547741936
11005900,Lake or Pond,424640.5596,5191221.724,Cass,Y,1,3.907021424,6.4,42.9057,2074.697793363936,2169.5924616723423,2080.488662543562,1924.936299049601,1908.6783162693648
11014700,Lake or Pond,409709.2635,5254913.136,Cass,Y,0,3.323991379,7.3152,15.8709,1981.897815489099,2083.0285799770386,1997.6932702974864,1845.9900045242157,1838.1683390136695
11017400,Lake or Pond,406494.4613,5204100.535,Cass,Y,1,4.401081928,6.7,58.7442,1990.9806764208327,2088.2484777444206,1999.248259367028,1853.933193072699,1838.1118426995506
11019000,Lake or Pond,408541.7348,5213440.252,Cass,Y,1,2.322061538,3.2004,16.4794,1863.8028611977263,1954.3267627766636,1867.2744082990826,1732.12687295094,1724.1210072749036
11020300,Lake or Pond,393301.8298,5224079.882,Cass,Y,1,2.810240606,4.370832,31.4444,1993.5008716744926,2092.9023876259484,2005.8582697566262,1862.1882266672114,1849.0909020603967
11021800,Lake or Pond,396864.3148,5153469.615,Cass,Y,0,2.835809855,5.64,42.549,2142.511389183817,2239.324904393377,2142.343300204496,1991.2800886973284,1979.3430299469474
11022000,Lake or Pond,397864.731,5152967.374,Cass,Y,0,2.8967875,4.11,40.768,2142.511389183817,2239.324904393377,2142.343300204496,1991.2800886973284,1979.3430299469474
11022100,Lake or Pond,397492.8762,5152298.523,Cass,Y,0,2.534444444,3,24.583,2142.511389183817,2239.324904393377,2142.343300204496,1991.2800886973284,1979.3430299469474
11022200,Lake or Pond,395341.3178,5149852.636,Cass,Y,0,1.585073289,2.82,53.7987,2142.511389183817,2239.324904393377,2142.343300204496,1991.2800886973284,1979.3430299469474
11024200,Lake or Pond,399816.3886,5189744.842,Cass,Y,0,4.217837073,5.7925,42.4185,1977.2809759311658,2065.3807758072735,1977.4143262404805,1836.9558335380548,1818.969881094033
11041300,Lake or Pond,379995.5875,5203131.88,Cass,Y,0,5.683223621,8.2,60.5099,1894.690667320296,1981.6065666310637,1901.492800125287,1746.4714083916726,1724.7443536206863
11041500,Lake or Pond,381379.0709,5245728.339,Cass,Y,0,4.547634286,7.16,36.0916,1877.0982826765264,1970.2553206241032,1888.456391918339,1741.7161189669957,1726.2684633324195
11050400,Lake or Pond,374536.1569,5235936.146,Cass,Y,0,3.913847574,5.85,45.0482,1924.6536561618084,2020.6107908679157,1935.5229081930404,1788.6920318270295,1771.264391916338
13001200,Lake or Pond,510061.2344,5022998.956,Chisago,Y,1,1.29032,1.88976,69.7822,2317.1647875072626,2442.042543436348,2317.1313898524327,2150.10081894379,2142.570635303619
13002700,Lake or Pond,513928.7285,5025024.402,Chisago,Y,1,1.617435219,11.5,65.8926,2281.3241427990556,2400.9116343082333,2280.180486549418,2117.6022041946326,2104.3015214830302
13002800,Lake or Pond,511252.3632,5025541.195,Chisago,Y,1,2.58152,14,94.29,2317.1647875072626,2442.042543436348,2317.1313898524327,2150.10081894379,2142.570635303619
13003500,Lake or Pond,511681.6662,5027050.972,Chisago,Y,1,2.727339592,16,85.0612,2315.7162789493673,2437.5872556442882,2312.138017540643,2147.181996765209,2135.340549194928
13004100,Lake or Pond,507794.9071,5021119.054,Chisago,Y,1,1.34112,1.9812,59.167,2392.39974868997,2517.6976459497946,2392.3841744922274,2225.1147622431754,2217.889445048828
13005300,Lake or Pond,504118.6705,5018585.514,Chisago,Y,1,1.676807066,3.403333333,47.079,2322.650945593187,2443.299684404375,2317.675856513544,2153.178716318428,2144.5406777355056
13005400,Lake or Pond,504970.0236,5017716.528,Chisago,Y,0,1.674672131,3.1,51.8488,2316.924921349065,2440.3009669791245,2315.478736974988,2149.4902262216574,2140.2825907151214
13006800,Lake or Pond,497323.9996,5047449.589,Chisago,Y,1,3.227443721,11.5,54.7363,2201.72574008556,2311.092529424704,2195.456183170595,2030.9493017761315,2021.337416067801
13008300,Lake or Pond,493884.1058,5053385.429,Chisago,Y,1,1.71704,2.10312,29.7304,2319.095980837231,2435.2400126175635,2314.2144650243254,2143.620484933794,2137.203645905853
14000400,Lake or Pond,257177.065,5211347.049,Clay,Y,0,3.137236364,3.9,5.3236,1995.615178140662,2105.9136952601852,2004.588500913309,1869.1446272794878,1851.3301864665364
15008100,Lake or Pond,318812.9639,5266860.09,Clearwater,Y,0,3.076571969,4.88,101.1057,1907.9590165209559,2004.3006997818436,1922.375672402512,1772.1058320489985,1755.072729601769
16002600,Lake or Pond,719551.9508,5326981.356,Cook,Y,0,3.0108,5.49,10.6668,1437.6921099849637,1507.7035061783163,1473.9984351005953,1334.1252439708173,1336.4834732258257
16002700,Lake or Pond,718155.7151,5326381.303,Cook,Y,0,4.753024533,7.75,19.954,1492.8923202018816,1562.5426028882405,1523.3414209944642,1383.2807672166937,1367.5165301969193
16002900,Lake or Pond,716059.7318,5320181.334,Cook,Y,0,2.70824,3.96,9.6534,1533.6787467726506,1609.9223696892243,1565.605663460028,1427.0962217870783,1417.5451460727363
16004100,Lake or Pond,711256.4998,5327125.628,Cook,Y,0,5.438945455,6.86,0.156,1445.9034784893884,1507.0910351809368,1473.8627829280047,1323.1895580852622,1299.8822207543974
16007700,Lake or Pond,710866.8332,5320336.41,Cook,Y,0,4.588785172,6.3,14.9628,1456.432470883699,1522.0427118185678,1484.22962839849,1343.3463706589157,1328.5789798290143
16014100,Lake or Pond,700264.646,5327485.593,Cook,Y,0,4.181933333,5.94,0.1571,1510.6351140035795,1578.9933949652452,1537.5088018954684,1397.104086170442,1381.54244469055
16014300,Lake or Pond,692819.6986,5299897.091,Cook,Y,0,3.01294363,5.94,44.0453,1632.8641625478847,1701.3780863162358,1656.4181583625684,1505.8726564832805,1494.7136744324741
16014700,Lake or Pond,694690.9891,5325415.02,Cook,Y,0,5.617156522,7.47,22.0089,1601.3394778522184,1674.4141880471043,1626.8479589879053,1476.5611027273362,1465.8994628490616
16035600,Lake or Pond,671881.7594,5330298.623,NOT IN MN,Y,0,4.773283761,7.5,18.2754,1493.5352187484957,1564.8897511952496,1524.8636423556575,1382.4079922303952,1381.350604030628
18003400,Lake or Pond,434226.7928,5137763.416,Crow Wing,Y,1,4.390224726,9.246666667,58.6131,1999.5852287752543,2091.708335968385,2003.102182146868,1851.697704197859,1833.6110026509327
