DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha
19002100,Lake or Pond,480255.7575,4954894.868,Dakota,Y,1,0.918167203,3.66,85.5335
19002500,Lake or Pond,480060.3091,4952596.85,Dakota,Y,1,1.146863469,2.8,77.6221
19002600,Lake or Pond,477617.5777,4945825.681,Dakota,Y,1,2.7432,2.7432,63.816
19002700,Lake or Pond,478881.7585,4952116.996,Dakota,Y,1,1.98214527,5.4,92.6389
19003100,Lake or Pond,475483.6171,4949787.6,Dakota,Y,1,2.571705112,6.8,44.2011
19003300,Lake or Pond,476620.9563,4954047.3,Dakota,Y,1,1.526614583,3,73.3394
19005700,Lake or Pond,487029.5739,4963190.544,Dakota,Y,1,1.955112195,6.7,104.1512
19005900,Lake or Pond,485624.2613,4962887.159,Dakota,Y,1,1.66660098,3.4,76.7696
19006200,Lake or Pond,490983.1609,4960109.623,Dakota,Y,0,1.751215311,3.35,107.9478
19006500,Lake or Pond,488728.0806,4959479.415,Dakota,Y,1,3.679050794,7.9,37.3234
19006700,Lake or Pond,486424.05,4960026.729,Dakota,Y,1,1.391927737,2.3,90.806
19007200,Lake or Pond,488700.4561,4958560.615,Dakota,Y,1,1.874242424,5.5,9.7142
19007500,Lake or Pond,489816.4206,4959014.433,Dakota,Y,1,2.439264706,4,19.0464
19007600,Lake or Pond,489828.5119,4959429.509,Dakota,Y,1,1.840947778,3.51,49.6204
19012800,Lake or Pond,484826.8036,4965763.912,Dakota,Y,1,2.456666667,5.2,23.6312
19044600,Lake or Pond,480637.2331,4951978.676,Dakota,Y,1,3.467823529,6.4,85.1868
19045600,Lake or Pond,486871.5346,4951994.458,Dakota,Y,1,0.974734884,2.5908,117.7603
21004900,Lake or Pond,318040.0777,5079812.959,Douglas,Y,0,3.374182564,7.92,48.1773
21005200,Lake or Pond,319448.2347,5085481.879,Douglas,Y,0,3.302962543,8.5,71.9184
21005400,Lake or Pond,318736.5117,5082842.145,Douglas,Y,1,3.321019827,8.2,62.5461
21005500,Lake or Pond,320921.4296,5081578.516,Douglas,Y,0,1.759939003,5.03,29.4784
21005600,Lake or Pond,317887.6703,5088803.493,Douglas,Y,1,3.545205446,9.1,67.0541
21005700,Lake or Pond,317215.188,5092901.301,Douglas,Y,1,4.240989029,10.25,49.6396
21007600,Lake or Pond,321523.1318,5103440.66,Douglas,Y,0,2.582881146,6.4,35.9657
21007900,Lake or Pond,315671.7661,5072145.269,Douglas,Y,0,3.396240908,9.81456,35.2551
21008000,Lake or Pond,314192.8818,5087785.915,Douglas,Y,0,3.723580926,8.3,69.4655
21008300,Lake or Pond,316722.1265,5101316.055,Douglas,Y,0,3.778726025,9.1,33.0531
21008400,Lake or Pond,305996.4215,5078130.396,Douglas,Y,0,1.457142857,1.8,20.0841
21008500,Lake or Pond,311853.2706,5076997.897,Douglas,Y,0,2.791264723,8.23,30.0683
21009000,Lake or Pond,313247.6139,5071842.776,Douglas,Y,0,1.856152809,4.9,21.1085
21009200,Lake or Pond,307508.8103,5077772.64,Douglas,Y,0,2.153136207,7.3,33.1861
21009300,Lake or Pond,313679.8776,5088794.378,Douglas,Y,0,2.401,3.2,37.9007
21009400,Lake or Pond,312460.7705,5089020.831,Douglas,Y,0,2.716216667,4.8768,47.6689
21009500,Lake or Pond,311615.6975,5087501.285,Douglas,Y,0,3.137430894,5.7912,22.5438
21010100,Lake or Pond,311834.8802,5086654.352,Douglas,Y,0,3.720473529,6.1,27.8395
21010200,Lake or Pond,310627.3863,5086440.311,Douglas,Y,0,3.218243284,6.7,37.7545
21010300,Lake or Pond,312419.8621,5085814.668,Douglas,Y,0,4.019021538,9.4,61.5905
21010500,Lake or Pond,311605.428,5085836.461,Douglas,Y,0,3.636026087,5.94,35.6676
21010600,Lake or Pond,311121.5389,5083015.303,Douglas,Y,0,4.1148,4.572,60.3518
21010800,Lake or Pond,307891.7672,5084954.761,Douglas,Y,0,3.548489552,5.5,38.4945
21012000,Lake or Pond,313583.4425,5090624.249,Douglas,Y,0,2.529,3.96,17.2394
21012300,Lake or Pond,312720.4998,5095808.159,Douglas,Y,0,4.079306803,9.1,40.1846
21013600,Lake or Pond,308344.7202,5099831.598,Douglas,Y,1,2.418737778,3.5,16.0701
21014000,Lake or Pond,304307.8236,5074127.283,Douglas,Y,0,2.078150289,6.7,30.4775
21014400,Lake or Pond,303976.0161,5083344.352,Douglas,Y,0,2.7432,3.6576,40.4136
21014500,Lake or Pond,303428.0062,5096755.188,Douglas,Y,0,3.723582873,8.23,26.5723
21015000,Lake or Pond,302363.3386,5078019.678,Douglas,Y,0,3.083651429,5.6,30.7304
21018000,Lake or Pond,303446.5882,5080727.778,Douglas,Y,0,2.53524631,5.8,34.2202
21019700,Lake or Pond,302025.8784,5082182.333,Douglas,Y,1,2.1209,4.2672,17.9185
21020400,Lake or Pond,304532.8405,5080819.215,Douglas,Y,0,1.34112,1.34112,18.7338
21021200,Lake or Pond,299149.5745,5097179.28,Douglas,Y,0,2.493869307,5.64,12.5466
21021300,Lake or Pond,300475.829,5096249.466,Douglas,Y,0,2.271500559,5.49,22.8944
21021600,Lake or Pond,300479.3889,5094265.763,Douglas,Y,0,2.619888344,6.1,25.7729
21025700,Lake or Pond,297288.3033,5078496.162,Douglas,Y,1,1.793965714,2.4384,24.4087
21026400,Lake or Pond,296418.2982,5096711.848,Douglas,Y,0,1.627824,5.03,23.5652
22007400,Lake or Pond,413207.5862,4852371.912,Faribault,Y,1,1.068496063,4.42,38.495
25001700,Riverine polygon,525126.9261,4945526.309,Goodhue,Y,1,0.224028,0.4572,7.2697
26004000,Lake or Pond,282315.0567,5083115.95,Grant,Y,0,1.991696744,4.88,38.6108
26009500,Lake or Pond,276585.5057,5089126.645,Grant,Y,0,1.59532,3.96,52.1829
26009700,Lake or Pond,276842.437,5100689.434,Grant,Y,0,1.124089712,3,32.0378
27000100,Lake or Pond,485246.8824,4969680.489,Hennepin,Y,1,1.63068,2.286,53.1972
27001400,Lake or Pond,479718.8188,4976527.898,Hennepin,Y,1,0.971640764,5.5,127.3471
27001600,Lake or Pond,475926.2825,4974312.964,Hennepin,Y,1,3.357442975,10,130.0251
27001800,Lake or Pond,481364.3643,4974205.996,Hennepin,Y,1,1.475342122,3.47,94.7058
27001900,Lake or Pond,480883.9376,4972829.157,Hennepin,Y,1,1.316197023,4.3,126.6005
27002900,Lake or Pond,472554.9237,4968393.863,Hennepin,Y,1,0.431818182,1.2,118.2152
27003100,Lake or Pond,475395.1173,4976539.934,Hennepin,Y,1,3.894768047,9.85,110.5677
27003700,Lake or Pond,474491.7917,4980985.527,Hennepin,Y,1,2.136626812,5,89.2272
27003900,Lake or Pond,474634.7607,4978543.587,Hennepin,Y,1,2.385199375,7.6,133.9321
27004000,Lake or Pond,475792.9222,4978048.118,Hennepin,Y,1,1.68919,5.6,129.0236
27004200,Lake or Pond,473404.0426,4988323.621,Hennepin,Y,1,1.5494,2.4892,99.9197
27004700,Lake or Pond,469736.6942,4964913.818,Hennepin,Y,1,3.035027778,6.1,60.0751
27005400,Lake or Pond,471352.0058,4974428.413,Hennepin,Y,1,2.264666667,3.4,85.5032
27006500,Lake or Pond,468543.6262,4990974.709,Hennepin,Y,1,0.546103896,1.2,114.1009
27006700,Lake or Pond,466105.0326,4969539.727,Hennepin,Y,1,2.112583333,5.15,59.3242
27007000,Lake or Pond,460770.4842,4967261.896,Hennepin,Y,1,1.708861489,15.8,120.0002
27007100,Lake or Pond,461076.5578,4968472.695,Hennepin,Y,1,5.115182524,14.3,104.7277
27007800,Lake or Pond,464051.5632,4964993.522,Hennepin,Y,1,0.83356175,3.3,64.0861
27008500,Lake or Pond,461517.5469,4977112.102,Hennepin,Y,1,1.64,2.15,70.0713
27009800,Lake or Pond,465885.2662,4989149.605,Hennepin,Y,1,1.528961814,5,88.0577
27010200,Lake or Pond,465898.2701,4987509.229,Hennepin,Y,1,2.160246154,7.59,100.1694
27010400,Lake or Pond,466900.027,4983747.102,Hennepin,Y,1,1.794937626,5.79,90.5821
27010700,Lake or Pond,462812.9107,4982346.343,Hennepin,Y,1,2.7703374099999998,8.84,94.9614
27011101,Lake or Pond,467476.214,4991303.386,Hennepin,N,1,1.996732921,8,84.6445
27011102,Lake or Pond,466995.1951,4990376.854,Hennepin,N,1,1.193841667,3.38,31.8155
27011700,Lake or Pond,460555.5178,4995288.768,Hennepin,Y,1,2.827128125,10.15,97.2299
27011800,Lake or Pond,463526.1034,4993273.079,Hennepin,Y,1,1.629018901,6.7,95.5601
27013300,Lake or Pond,452854.2758,4975634.528,Hennepin,Y,1,2.8738576,5.7912,82.026
27013301,Lake or Pond,461073.933,4977962.432,Hennepin,N,1,3.488418079,7.4,62.8254
27013303,Lake or Pond,458150.0187,4974879.752,Hennepin,N,1,3.556056338,6.7,60.6226
27013304,Lake or Pond,456389.7931,4972800.373,Hennepin,N,1,3.756381579,8.7,92.5015
27013309,Lake or Pond,445616.6573,4973523.867,Hennepin,N,1,1.113213141,5.18,82.026
27013313,Lake or Pond,450967.2804,4978609.594,Hennepin,N,1,2.279338235,5.4,82.026
27013700,Lake or Pond,457113.9125,4971659.486,Hennepin,Y,1,5.84948878,10.8,73.3938
27014100,Lake or Pond,455672.4016,4978808.145,Hennepin,Y,1,1.151054217,4.75,35.1995
27014400,Lake or Pond,455421.0097,4971644.233,Hennepin,Y,1,1.4,1.7,110.2328
27016000,Lake or Pond,456036.4519,4981877.481,Hennepin,Y,1,1.227880588,4.9,81.9259
27017600,Lake or Pond,448815.4909,4986499.159,Hennepin,Y,1,1.810116312,8.11,28.3148
27017900,Lake or Pond,444227.4242,4977423.021,Hennepin,Y,1,3.81,4.572,24.5026
27018100,Lake or Pond,446298.9464,4976966.187,Hennepin,Y,1,1.300968302,5.4,58.0708
27018200,Lake or Pond,446751.4773,4975741.181,Hennepin,Y,1,0.788846154,5.47,107.1762
